Samples,CTallo.L
15060021,28
15060027,28
15060039,54
15060042,28
15060050,54
15060070,28
15060072,54
15060081,54
15060085,54
15060087,28
15060090,54
15060097,54
15060101,54
15060102,54
15060112,54
15060114,54
15060122,54
15060160,54
15060187,28
15060190,54
15060191,54
15060214,54
15060215,54
15060313,54
15060320,54
15060345,54
15060536,54
15060543,54
15060570,54
15060797,54
15060846,54
15060907,28
15060910,28
15060933,54
15061007,54
15061122,54
15061213,54
15061215,54
15061216,54
15061225,54
15061228,28
15061256,54
15061257,28
15061258,28
15061259,28
15061261,54
15061262,54
15061264,54
15061265,54
15061270,54
15061271,54
15061273,54
15061274,54
15061277,54
15061279,54
15061281,54
15061282,54
15061283,54
15061288,54
15061289,54
15061291,54
15061293,28
15061295,36
15061296,28
15061297,54
15061298,54
15061299,28
15061301,54
15061302,54
15061305,54
15061308,28
15061312,54
15061313,54
15061317,54
15061318,54
15061319,54
15061320,54
15061323,54
15061324,54
15061329,28
15061330,54
15061333,54
15061334,54
15061335,54
15061338,28
15061340,28
15061342,54
15061344,54
15061346,54
15061347,54
15061348,54
15061349,54
15061352,54
15061353,54
15061355,28
15061356,54
15061357,28
15061358,54
15061360,54
15061361,54
15061364,54
15061367,54
15061368,54
15061369,54
15061370,54
15061376,54
15061377,54
15061378,54
15061382,54
15061384,28
15061385,28
15061386,54
15061388,54
15061389,28
15061394,54
15061396,28
15061397,54
15061405,54
15061406,54
15061410,54
15061411,54
15061414,28
15061415,54
15061417,28
15061418,28
15061419,28
15061420,54
15061422,54
15061424,28
15061425,54
15061428,54
15061430,54
15061434,28
15061436,54
15061437,54
15061438,28
15061439,54
15061441,28
15061442,54
15061444,54
15061445,28
15061449,54
15061453,28
15061454,54
15061458,54
15061459,28
15061461,54
15061462,54
15061463,54
15061469,54
15061470,54
15061471,49
15061475,54
15061476,28
15061477,54
15061478,28
15061479,54
15061480,28
15061481,54
15061482,54
15061484,45
15061485,54
15061488,28
15061489,28
15061490,28
15061491,28
15061493,54
15061494,28
15061495,28
15061496,28
15061498,28
15061499,54
15061500,54
15061501,28
15061503,54
15061504,45
15061505,49
15061508,28
15061509,54
15061511,54
15061514,54
15061515,45
15061516,28
15061517,42
15061518,54
15061521,28
15061522,28
15061523,28
15061524,28
15061526,28
15061529,54
15061530,54
15061533,54
15061534,54
15061537,54
15061540,54
15061543,54
15061544,28
15061546,28
15061550,28
15061551,54
15061553,54
15061555,42
15061556,54
15061557,54
15061560,54
15061561,54
15061564,54
15061567,54
15061568,54
15061571,54
15061575,49
15061576,49
15061578,28
15061579,28
15061580,42
15061583,54
15061584,54
15061585,49
15061586,54
15061588,42
15061600,54
15061601,28
15061602,54
15061603,28
15061604,54
15061605,54
15061608,54
15061609,28
15061610,42
15061612,28
15061613,54
15061614,54
15061619,28
15061621,54
15061622,54
15061623,54
15061624,28
15061626,28
15061628,54
15061629,28
15061630,28
15061631,28
15061632,54
15061638,54
15061639,49
15061640,28
15061641,54
15061642,54
15061646,54
15061648,53
15061649,54
15061650,54
15061651,58
15061653,54
15061655,54
15061656,53
15061658,53
15061659,49
15061661,54
15061662,28
15061665,54
15061666,28
15061667,28
15061673,28
15061676,54
15061677,28
15061678,28
15061679,28
15061682,49
15061685,49
15061686,49
15061688,54
15061689,28
15061690,28
15061704,54
15061706,54
15061707,28
15061709,54
15061710,28
15061712,54
15061713,54
15061714,28
15061717,28
15061718,49
15061719,54
15061720,42
15061722,54
15061723,28
15061725,28
15061729,28
15061730,28
15061731,28
15061733,54
15061734,28
15061735,54
15061736,28
15061737,28
15061742,54
15061744,54
15061747,54
15061751,62
15061752,45
15061753,28
15061754,54
15061755,54
15061757,28
15061758,54
15061759,54
15061762,28
15061763,28
15061764,54
15061765,54
15061766,54
15061768,54
15061771,28
15061772,54
15061773,28
15061776,54
15061777,28
15061778,28
15061785,54
15061788,54
15061789,54
15061795,28
15061797,28
15061798,54
15061799,28
15061801,54
15061808,54
15061811,54
15061813,54
15061815,54
15061826,54
15061905,58
15061906,28
15061907,66
15061908,28
15061910,54
15061911,54
15061912,54
15061915,54
15061916,54
15061917,54
15061918,54
15061927,28
15061928,28
15061930,28
15061932,54
15061933,54
15061934,28
15061935,54
15061937,54
15061939,54
15061942,54
15061944,54
15061945,54
15061946,28
15061948,54
15061951,54
15061952,28
15061953,28
15061957,54
15061958,54
15061961,28
15061962,54
15061963,28
15061964,54
15061965,54
15061966,28
15061967,28
15062036,54
15062038,54
15062051,54
15062052,54
15062053,54
15062063,54
15062067,54
15062069,28
15062071,54
15062080,54
15062081,28
15062092,54
15062094,28
15062098,54
15062099,54
15062100,54
15062101,28
15062102,54
15062103,54
15062105,28
15062106,28
15062107,54
15062108,28
15062109,54
15062111,28
15062114,28
15062115,28
15062117,54
15062118,54
15062122,28
15062124,45
15062126,28
15062130,54
15062133,28
15062136,28
15062137,28
15062138,28
15062139,54
15062142,54
15062143,28
15062144,28
15062145,28
15062146,28
15062147,54
15062150,28
15062152,28
15062153,54
15062331,54
15062332,54
15062333,28
15062334,54
15062335,54
15062337,54
15062338,54
15062339,54
15062344,54
15062346,54
15062347,54
15062348,54
15062349,54
15062350,54
15062351,28
15062353,54
15062354,54
15062356,42
15062357,28
15062360,54
15062361,54
15062362,54
15062363,54
15062366,54
15062368,54
15062369,28
15062370,54
15062371,54
15062372,54
